screen_id,route,page_widget,layout_pattern,vpc_owner_file,rules_1_6_status,l1,l2,l5,l3,exception_reason
SC-099,AppRoutePaths.tradeCopyClientOptUpRequest,ClientOptUpRequestPage,shared_shell,features/trade/presentation/pages/client_categorization_opt_up_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-076,AppRoutePaths.tradeCopyComparison,ProviderComparisonPage,shared_shell,features/trade/presentation/pages/provider_comparison_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-112,AppRoutePaths.tradeCopyComplaintSubmission,ComplaintSubmissionPage,shared_shell,features/trade/presentation/pages/complaint_submission_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-113,AppRoutePaths.tradeCopyComplaintTrackingBase,ComplaintTrackingPage,shared_shell,features/trade/presentation/pages/complaint_tracking_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-111,AppRoutePaths.tradeCopyComplaintsHandling,ComplaintsHandlingPage,direct_vpc,features/trade/presentation/pages/complaints_handling_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-082,AppRoutePaths.tradeCopyDisputeResolution,DisputeResolutionPage,direct_vpc,features/trade/presentation/pages/dispute_resolution_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-065,AppRoutePaths.tradeCopyEducation,CopyEducationPage,shared_shell,features/trade/presentation/pages/copy_education_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-105,AppRoutePaths.tradeCopyExAnteCosts,ExAnteCostsPage,shared_shell,features/trade/presentation/pages/ex_ante_costs_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-107,AppRoutePaths.tradeCopyExPostCostsReport,ExPostCostsReportPage,shared_shell,features/trade/presentation/pages/ex_post_costs_report_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-097,AppRoutePaths.tradeCopyExecutionVenueAnalysis,ExecutionVenueAnalysisPage,shared_shell,features/trade/presentation/pages/execution_venue_analysis_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-104,AppRoutePaths.tradeCopyInvestorCompensation,InvestorCompensationPage,direct_vpc,features/trade/presentation/pages/investor_compensation_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-108,AppRoutePaths.tradeCopyKidGenerator,KIDGeneratorPage,shared_shell,features/trade/presentation/pages/kid_generator_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-079,AppRoutePaths.tradeCopyLeaderboard,ProviderLeaderboardPage,shared_shell,features/trade/presentation/pages/provider_leaderboard_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-068,AppRoutePaths.tradeCopyNotifications,CopyNotificationsPage,shared_shell,features/trade/presentation/pages/copy_notifications_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-114,AppRoutePaths.tradeCopyOmbudsmanReferral,OmbudsmanReferralPage,shared_shell,features/trade/presentation/pages/ombudsman_referral_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-109,AppRoutePaths.tradeCopyPerformanceScenarios,PerformanceScenariosPage,shared_shell,features/trade/presentation/pages/performance_scenarios_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-100,AppRoutePaths.tradeCopyProductGovernance,ProductGovernancePage,shared_shell,features/trade/presentation/pages/product_governance_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-069,AppRoutePaths.tradeCopyProviderApply,ProviderApplicationPage,direct_vpc,features/trade/presentation/pages/provider_application_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-081,AppRoutePaths.tradeCopyProviderGovernance,ProviderGovernancePage,direct_vpc,features/trade/presentation/pages/provider_governance_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-084,AppRoutePaths.tradeCopyRegulatoryDisclosures,RegulatoryDisclosuresPage,direct_vpc,features/trade/presentation/pages/regulatory_disclosures_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-116,AppRoutePaths.tradeCopyRegulatoryInspectionReady,RegulatoryInspectionReadyPage,shared_shell,features/trade/presentation/pages/regulatory_inspection_ready_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-094,AppRoutePaths.tradeCopyRegulatoryReportsDashboard,RegulatoryReportsDashboardPage,direct_vpc,features/trade/presentation/pages/regulatory_reports_dashboard_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-078,AppRoutePaths.tradeCopyRiskAnalysis,PortfolioRiskAnalysisPage,shared_shell,features/trade/presentation/pages/portfolio_risk_analysis_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-110,AppRoutePaths.tradeCopyRiskIndicatorExplainer,RiskIndicatorExplainerPage,direct_vpc,features/trade/presentation/pages/risk_indicator_explainer_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-106,AppRoutePaths.tradeCopyRiyCalculator,RIYCalculatorPage,shared_shell,features/trade/presentation/pages/riy_calculator_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-080,AppRoutePaths.tradeCopySafety,SafetyEducationPage,direct_vpc,features/trade/presentation/pages/safety_education_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-083,AppRoutePaths.tradeCopySafetyCenter,CopySafetyCenterPage,shared_shell,features/trade/presentation/pages/copy_safety_center_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-067,AppRoutePaths.tradeCopySettings,CopySettingsPage,shared_shell,features/trade/presentation/pages/copy_settings_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-098,AppRoutePaths.tradeCopySlippageMonitoring,SlippageMonitoringPage,direct_vpc,features/trade/presentation/pages/slippage_monitoring_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-101,AppRoutePaths.tradeCopyTargetMarketDefinition,TargetMarketDefinitionPage,shared_shell,features/trade/presentation/pages/target_market_definition_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-063,AppRoutePaths.tradeCopyTrading,CopyTradingPage,shared_shell,features/trade/presentation/pages/copy_trading_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-064,AppRoutePaths.tradeCopyTradingV2,CopyTradingV2Page,shared_shell,features/trade/presentation/pages/copy_trading_v2_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-093,AppRoutePaths.tradeCopyTransactionReporting,TransactionReportingPage,shared_shell,features/trade/presentation/pages/transaction_reporting_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-061,AppRoutePaths.tradeExecutionQuality,ExecutionQualityDemoPage,direct_vpc,features/trade/presentation/pages/execution_quality_demo_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-054,AppRoutePaths.tradeExport,TradeHistoryExportPage,direct_vpc,features/trade/presentation/pages/trade_history_export_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
AppRouteNames.sc085MarginTrading,AppRoutePaths.tradeMargin,MarginTradingPage,direct_vpc,features/trade/presentation/pages/margin_trading_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-092,AppRoutePaths.tradeMarginAdvancedAnalytics,AdvancedAnalyticsPage,direct_vpc,features/trade/presentation/pages/advanced_analytics_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-088,AppRoutePaths.tradeMarginAdvancedDemo,AdvancedTradingDemoPage,direct_vpc,features/trade/presentation/pages/advanced_trading_demo_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
AppRouteNames.sc086MarginTradingPair,AppRoutePaths.tradeMarginBtcusdt,MarginTradingPage,direct_vpc,features/trade/presentation/pages/margin_trading_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
SC-090,AppRoutePaths.tradeMarginHub,MarginTradingHubPage,shared_shell,features/trade/presentation/pages/margin_trading_hub_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
