direction,module,source_file,line,source_unit,trigger_hint,kind,target_expression,normalized_target,target_screen,notes
inbound,trade_bots,flutter_app/lib/features/trade_bots/presentation/widgets/hub/trading_bots_page_create_bot_sheet.dart,199,trading_bots_page_create_bot_sheet.dart,,Navigator.pop,context,,,back_or_close_modal
inbound,trade_bots,flutter_app/lib/features/trade_bots/presentation/widgets/settings/bot_security_settings_sheets.dart,151,bot_security_settings_sheets.dart,IP Address | Label (Optional) | Add IP Address,Navigator.of(context).pop,,,,back_or_close_modal
inbound,trade_compliance,flutter_app/lib/features/trade_compliance/presentation/pages/client_money/arm_integration_status_page.dart,156,arm_integration_status_page.dart,Latency Monitoring (Last 15 min) | SLA Compliance,context.push,AppRoutePaths.tradeCopyTransactionReporting,/trade/copy-trading/transaction-reporting,TransactionReportingPage (/trade/copy-trading/transaction-reporting),
inbound,trade_compliance,flutter_app/lib/features/trade_compliance/presentation/pages/client_money/arm_integration_status_page.dart,157,arm_integration_status_page.dart,Latency Monitoring (Last 15 min) | SLA Compliance,context.push,AppRoutePaths.tradeCopyRegulatoryReportsDashboard,/trade/copy-trading/regulatory-reports-dashboard,RegulatoryReportsDashboardPage (/trade/copy-trading/regulatory-reports-dashboard),
inbound,trade_compliance,flutter_app/lib/features/trade_compliance/presentation/pages/complaints/complaint_submission_page.dart,218,complaint_submission_page.dart,,context.go,"AppRoutePaths.tradeCopyComplaintTracking( snapshot.confirmationComplaintId, )",/trade/copy-trading/complaint-tracking/<snapshot.confirmationComplaintId>,ComplaintTrackingPage (/trade/copy-trading/complaint-tracking/:complaintId),
inbound,trade_compliance,flutter_app/lib/features/trade_compliance/presentation/pages/complaints/complaint_tracking_page.dart,413,complaint_tracking_page.dart,,context.push,routePath,,,dynamic_route_expression
inbound,trade_compliance,flutter_app/lib/features/trade_compliance/presentation/pages/execution/best_execution_reports_page.dart,147,best_execution_reports_page.dart,Q1 2026 (Current) | Archive,context.push,AppRoutePaths.tradeCopyExecutionVenueAnalysis,/trade/copy-trading/execution-venue-analysis,ExecutionVenueAnalysisPage (/trade/copy-trading/execution-venue-analysis),
inbound,trade_compliance,flutter_app/lib/features/trade_compliance/presentation/pages/governance/transaction_reporting_page.dart,160,transaction_reporting_page.dart,,context.push,AppRoutePaths.tradeCopyRegulatoryReportsDashboard,/trade/copy-trading/regulatory-reports-dashboard,RegulatoryReportsDashboardPage (/trade/copy-trading/regulatory-reports-dashboard),
inbound,trade_compliance,flutter_app/lib/features/trade_compliance/presentation/pages/governance/transaction_reporting_page.dart,163,transaction_reporting_page.dart,,context.push,AppRoutePaths.tradeCopyArmIntegrationStatus,/trade/copy-trading/arm-integration-status,ArmIntegrationStatusPage (/trade/copy-trading/arm-integration-status),
inbound,trade_compliance,flutter_app/lib/features/trade_compliance/presentation/pages/hub/regulatory_reports_dashboard_page.dart,184,regulatory_reports_dashboard_page.dart,,context.push,AppRoutePaths.tradeCopyTransactionReporting,/trade/copy-trading/transaction-reporting,TransactionReportingPage (/trade/copy-trading/transaction-reporting),
inbound,trade_compliance,flutter_app/lib/features/trade_compliance/presentation/pages/hub/regulatory_reports_dashboard_page.dart,187,regulatory_reports_dashboard_page.dart,,context.push,AppRoutePaths.tradeCopyArmIntegrationStatus,/trade/copy-trading/arm-integration-status,ArmIntegrationStatusPage (/trade/copy-trading/arm-integration-status),
inbound,trade_compliance,flutter_app/lib/features/trade_compliance/presentation/widgets/client_money/client_money_protection_page_common.dart,60,client_money_protection_page_common.dart,Difference,context.go,AppRoutePaths.tradeCopyCassReconciliation,/trade/copy-trading/cass-reconciliation,CassReconciliationPage (/trade/copy-trading/cass-reconciliation),
inbound,trade_compliance,flutter_app/lib/features/trade_compliance/presentation/widgets/complaints/complaints_handling_overview_complaints.dart,189,complaints_handling_overview_complaints.dart,,context.go,AppRoutePaths.tradeCopyComplaintTracking(complaint.id),/trade/copy-trading/complaint-tracking/<complaint.id>,ComplaintTrackingPage (/trade/copy-trading/complaint-tracking/:complaintId),
inbound,trade_compliance,flutter_app/lib/features/trade_compliance/presentation/widgets/complaints/complaints_handling_overview_header_tabs.dart,54,complaints_handling_overview_header_tabs.dart,Submit a Complaint,context.go,AppRoutePaths.tradeCopyComplaintSubmission,/trade/copy-trading/complaint-submission,ComplaintSubmissionPage (/trade/copy-trading/complaint-submission),
inbound,trade_compliance,flutter_app/lib/features/trade_compliance/presentation/widgets/complaints/complaints_handling_process_common.dart,134,complaints_handling_process_common.dart,Learn About Ombudsman Referral,context.go,AppRoutePaths.tradeCopyOmbudsmanReferral,/trade/copy-trading/ombudsman-referral,OmbudsmanReferralPage (/trade/copy-trading/ombudsman-referral),
inbound,trade_compliance,flutter_app/lib/features/trade_compliance/presentation/widgets/disclosures/ex_ante_costs_scenarios_actions.dart,122,ex_ante_costs_scenarios_actions.dart,Ex-Post Report | View KID,context.go,AppRoutePaths.tradeCopyExPostCostsReport,/trade/copy-trading/ex-post-costs-report,ExPostCostsReportPage (/trade/copy-trading/ex-post-costs-report),
inbound,trade_compliance,flutter_app/lib/features/trade_compliance/presentation/widgets/disclosures/ex_ante_costs_scenarios_actions.dart,132,ex_ante_costs_scenarios_actions.dart,Ex-Post Report | View KID,context.go,AppRoutePaths.tradeCopyKidGenerator,/trade/copy-trading/kid-generator,KIDGeneratorPage (/trade/copy-trading/kid-generator),
inbound,trade_compliance,flutter_app/lib/features/trade_compliance/presentation/widgets/disclosures/ex_ante_costs_summary_breakdown.dart,61,ex_ante_costs_summary_breakdown.dart,Impact on Returns | Use RIY Calculator,context.go,AppRoutePaths.tradeCopyRiyCalculator,/trade/copy-trading/riy-calculator,RIYCalculatorPage (/trade/copy-trading/riy-calculator),
inbound,trade_compliance,flutter_app/lib/features/trade_compliance/presentation/widgets/governance/client_categorization_overview_tab.dart,226,client_categorization_overview_tab.dart,Start Opt-Up Application,context.go,AppRoutePaths.tradeCopyClientOptUpRequest,/trade/copy-trading/client-opt-up-request,ClientOptUpRequestPage (/trade/copy-trading/client-opt-up-request),
inbound,trade_compliance,flutter_app/lib/features/trade_compliance/presentation/widgets/governance/client_categorization_page_chrome.dart,186,client_categorization_page_chrome.dart,Disclosures | Settings,context.go,AppRoutePaths.tradeCopyRegulatoryDisclosures,/trade/copy-regulatory-disclosures,RegulatoryDisclosuresPage (/trade/copy-regulatory-disclosures),
inbound,trade_compliance,flutter_app/lib/features/trade_compliance/presentation/widgets/governance/client_categorization_page_chrome.dart,196,client_categorization_page_chrome.dart,Disclosures | Settings,context.go,AppRoutePaths.settingsSecurity,/settings/security,SecurityPage (/settings/security),
inbound,trade_compliance,flutter_app/lib/features/trade_compliance/presentation/widgets/governance/product_governance_products.dart,74,product_governance_products.dart,Open target market definition,context.go,"AppRoutePaths.tradeCopyTargetMarketDefinitionForProduct( product.id, )",AppRoutePaths.tradeCopyTargetMarketDefinitionForProduct(...),,
inbound,trade_compliance,flutter_app/lib/features/trade_compliance/presentation/widgets/governance/transaction_reporting_stats.dart,111,transaction_reporting_stats.dart,ARM Providers | View Full Dashboard,context.go,AppRoutePaths.tradeCopyRegulatoryReportsDashboard,/trade/copy-trading/regulatory-reports-dashboard,RegulatoryReportsDashboardPage (/trade/copy-trading/regulatory-reports-dashboard),
inbound,trade_copy,flutter_app/lib/features/trade_copy/presentation/pages/flow/copy_configuration_page.dart,202,copy_configuration_page.dart,Xem lại cấu hình copy | Xem xác nhận,context.push,AppRoutePaths.tradeCopyProviderConfirmation(widget.providerId),AppRoutePaths.tradeCopyProviderConfirmation(...),,
inbound,trade_copy,flutter_app/lib/features/trade_copy/presentation/pages/flow/copy_confirmation_page.dart,256,copy_confirmation_page.dart,,context.go,result.activeCopiesPath,,,dynamic_route_expression
inbound,trade_copy,flutter_app/lib/features/trade_copy/presentation/pages/flow/pre_copy_assessment_page.dart,286,pre_copy_assessment_page.dart,,context.push,AppRoutePaths.tradeCopyProviderConfiguration(snapshot.providerId),/trade/copy-provider/<snapshot.providerId>/configuration,CopyConfigurationPage (/trade/copy-provider/:providerId/configuration),
inbound,trade_copy,flutter_app/lib/features/trade_copy/presentation/pages/hub/active_copies_page.dart,117,active_copies_page.dart,Copy đang chạy | Tổng quan portfolio | Đánh giá rủi ro,context.push,AppRoutePaths.tradeCopyTrading,/trade/copy-trading,CopyTradingPage (/trade/copy-trading),
inbound,trade_copy,flutter_app/lib/features/trade_copy/presentation/pages/hub/active_copies_page.dart,160,active_copies_page.dart,Danh sách copy,context.push,AppRoutePaths.tradeCopyTrading,/trade/copy-trading,CopyTradingPage (/trade/copy-trading),
inbound,trade_copy,flutter_app/lib/features/trade_copy/presentation/pages/hub/active_copies_page.dart,170,active_copies_page.dart,Danh sách copy,context.push,"AppRoutePaths.tradeCopyProvider( copy.providerId, backPath: AppRoutePaths.tradeCopyActive, )",/trade/copy-provider/<copy.providerId>,CopyProviderDetailPage (/trade/copy-provider/:providerId),
inbound,trade_copy,flutter_app/lib/features/trade_copy/presentation/pages/hub/active_copies_page.dart,176,active_copies_page.dart,,context.push,"AppRoutePaths.tradeCopyProviderConfiguration( copy.providerId, backPath: AppRoutePaths.tradeCopyActive, )",/trade/copy-provider/<copy.providerId>/configuration,CopyConfigurationPage (/trade/copy-provider/:providerId/configuration),
