module,file,call_site_family,variant,count,height_tier_px,width_mode,local_duplicate_classes,compliance,notes
dca,dca/presentation/widgets/dca_portfolio_optimizer_tabs.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
dca,dca/presentation/widgets/dca_schedule_strategy_time.dart,VitChoicePill,chip,1,44,full_or_hug,-,pass,
dca,dca/presentation/widgets/dca_smart_rules_tabs_stats.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
dev,dev/presentation/pages/design_system_page.dart,VitPresetChipRow,preset_row,1,34,equal_full,-,pass,
dev,dev/presentation/pages/missing_screens_showcase_page.dart,VitPresetChipRow,preset_row,1,34,equal_full,-,pass,
dev,dev/presentation/pages/missing_screens_showcase_page.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
dev,dev/presentation/pages/performance_monitor.dart,VitPresetChipRow,preset_row,1,34,equal_full,-,pass,
dev,dev/presentation/pages/route_checker_page.dart,VitPresetChipRow,preset_row,1,34,equal_full,-,pass,
dev,dev/presentation/widgets/design_system_playground.dart,VitChoicePill,chip,2,44,hug,-,pass,
dev,dev/presentation/widgets/route_checker_page_sections.dart,VitChoicePill,chip,1,44,hug,-,pass,
discovery,discovery/presentation/widgets/topic_hub_header.dart,VitChoicePill,chip,1,44,hug,-,pass,
discovery,discovery/presentation/widgets/unified_search_shell.dart,VitChoicePill,chip,1,44,hug,-,pass,
earn,earn/presentation/pages/auto_compound_settings_page_part_02.dart,VitChoicePill,chip,1,44,full_or_hug,-,pass,
earn,earn/presentation/pages/earn_portfolio_page.dart,VitSegmentedTabBar,segment_alias,1,~28,equal_expanded,-,pass,alias of VitTabBar.segment
earn,earn/presentation/pages/savings_analytics_page.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
earn,earn/presentation/pages/savings_auto_rebalance_page.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
earn,earn/presentation/pages/savings_recommendations_page_part_01.dart,VitPresetChipRow,preset_row,1,34,equal_full,-,pass,
earn,earn/presentation/pages/savings_what_if_page_part_01.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
earn,earn/presentation/pages/staking_analytics_page_part_01.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
earn,earn/presentation/pages/staking_developer_console_page.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
earn,earn/presentation/pages/staking_faq_page.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
earn,earn/presentation/pages/staking_insurance_page_part_01.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
earn,earn/presentation/pages/staking_liquid_staking_page_part_01.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
earn,earn/presentation/pages/staking_proof_of_reserves_page_part_01.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
earn,earn/presentation/pages/staking_webhooks_page.dart,VitChoicePill,chip,1,44,hug,-,pass,
earn,earn/presentation/pages/staking_withdrawal_policy_page_part_01.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
