direction,module,source_file,line,source_unit,trigger_hint,kind,target_expression,normalized_target,target_screen,notes
internal,trade,flutter_app/lib/features/trade/presentation/pages/regulatory_reports_dashboard_page_part_01.dart,34,regulatory_reports_dashboard_page.dart,Regulatory Reports | Dashboard - MiFID II - EMIR | SC-094 RegulatoryReportsDashboardPage,context.go,AppRoutePaths.tradeCopyTransactionReporting,/trade/copy-trading/transaction-reporting,TransactionReportingPage (/trade/copy-trading/transaction-reporting),
internal,trade,flutter_app/lib/features/trade/presentation/pages/regulatory_reports_dashboard_page_part_01.dart,82,regulatory_reports_dashboard_page.dart,,context.go,AppRoutePaths.tradeCopyTransactionReporting,/trade/copy-trading/transaction-reporting,TransactionReportingPage (/trade/copy-trading/transaction-reporting),
internal,trade,flutter_app/lib/features/trade/presentation/pages/regulatory_reports_dashboard_page_part_01.dart,85,regulatory_reports_dashboard_page.dart,,context.go,AppRoutePaths.tradeCopyArmIntegrationStatus,/trade/copy-trading/arm-integration-status,ArmIntegrationStatusPage (/trade/copy-trading/arm-integration-status),
internal,trade,flutter_app/lib/features/trade/presentation/pages/risk_indicator_explainer_page.dart,65,risk_indicator_explainer_page.dart,Risk Indicator | Summary Risk Indicator (SRI) | SC-110 RiskIndicatorExplainerPage,context.go,AppRoutePaths.tradeCopyTrading,/trade/copy-trading,CopyTradingPage (/trade/copy-trading),
internal,trade,flutter_app/lib/features/trade/presentation/pages/risk_management_demo_page.dart,83,risk_management_demo_page.dart,Risk Management | SC-060 RiskManagementDemoPage,context.go,AppRoutePaths.trade,/trade,TradePage (/trade),
internal,trade,flutter_app/lib/features/trade/presentation/pages/riy_calculator_page.dart,107,riy_calculator_page.dart,RIY Calculator | Cost Impact Analysis | SC-106 RIYCalculatorPage,context.go,AppRoutePaths.tradeCopyExAnteCosts,/trade/copy-trading/ex-ante-costs,ExAnteCostsPage (/trade/copy-trading/ex-ante-costs),
internal,trade,flutter_app/lib/features/trade/presentation/pages/safety_education_page.dart,70,safety_education_page.dart,An toàn & Bảo mật | SC-080 SafetyEducationPage,context.go,AppRoutePaths.tradeCopyTrading,/trade/copy-trading,CopyTradingPage (/trade/copy-trading),
internal,trade,flutter_app/lib/features/trade/presentation/pages/slippage_monitoring_page.dart,81,slippage_monitoring_page.dart,Slippage Monitoring | Real-time Tracking · Alerts | SC-098 SlippageMonitoringPage,context.go,AppRoutePaths.tradeCopyTrading,/trade/copy-trading,CopyTradingPage (/trade/copy-trading),
internal,trade,flutter_app/lib/features/trade/presentation/pages/target_market_definition_page.dart,66,target_market_definition_page.dart,Target Market Definition | SC-101 TargetMarketDefinitionPage,context.go,AppRoutePaths.tradeCopyProductGovernance,/trade/copy-trading/product-governance,ProductGovernancePage (/trade/copy-trading/product-governance),
internal,trade,flutter_app/lib/features/trade/presentation/pages/trade_history_export_page.dart,100,trade_history_export_page.dart,Xuất lịch sử giao dịch | SC-054 TradeHistoryExportPage,context.go,AppRoutePaths.trade,/trade,TradePage (/trade),
